date,state,cases_import,cases_new,cases_recovered
8/11/21,Johor,0,1693,798
8/11/21,Kedah,0,1534,1015
8/11/21,Kelantan,0,1284,633
8/11/21,Melaka,0,636,550
8/11/21,Negeri Sembilan,0,1015,773
8/11/21,Pahang,0,585,434
8/11/21,Perak,0,828,702
8/11/21,Perlis,0,29,3
8/11/21,Pulau Pinang,0,1385,749
8/11/21,Sabah,0,1514,1221
8/11/21,Sarawak,1,634,444
8/11/21,Selangor,11,6921,7107
8/11/21,Terengganu,0,613,625
8/11/21,W.P. Kuala Lumpur,3,2065,2839
8/11/21,W.P. Labuan,0,3,10
8/11/21,W.P. Putrajaya,0,41,70
8/12/21,Johor,0,1706,1128
8/12/21,Kedah,0,2143,1517
8/12/21,Kelantan,0,972,973
8/12/21,Melaka,0,494,596
8/12/21,Negeri Sembilan,1,899,826
8/12/21,Pahang,0,629,605
8/12/21,Perak,0,930,759
8/12/21,Perlis,0,23,1
8/12/21,Pulau Pinang,0,1229,173
8/12/21,Sabah,0,2052,626
8/12/21,Sarawak,0,1216,673
8/12/21,Selangor,2,6278,7049
8/12/21,Terengganu,0,594,579
8/12/21,W.P. Kuala Lumpur,55,2436,2096
8/12/21,W.P. Labuan,0,11,4
8/12/21,W.P. Putrajaya,0,56,82
8/13/21,Johor,1,1485,1244
8/13/21,Kedah,0,1807,1348
8/13/21,Kelantan,0,1088,873
8/13/21,Melaka,1,723,561
8/13/21,Negeri Sembilan,2,974,1057
8/13/21,Pahang,0,572,442
8/13/21,Perak,1,940,548
8/13/21,Perlis,0,50,3
8/13/21,Pulau Pinang,0,1316,1255
8/13/21,Sabah,0,1654,785
8/13/21,Sarawak,0,715,470
8/13/21,Selangor,2,7449,6121
8/13/21,Terengganu,0,440,66
8/13/21,W.P. Kuala Lumpur,18,2183,2148
8/13/21,W.P. Labuan,0,6,4
8/13/21,W.P. Putrajaya,0,66,100
8/14/21,Johor,0,1425,1092
8/14/21,Kedah,0,1796,1202
8/14/21,Kelantan,0,1370,846
8/14/21,Melaka,0,521,749
8/14/21,Negeri Sembilan,0,727,872
8/14/21,Pahang,0,794,606
8/14/21,Perak,1,1003,812
8/14/21,Perlis,0,61,30
8/14/21,Pulau Pinang,0,1251,735
8/14/21,Sabah,0,1752,844
8/14/21,Sarawak,1,725,420
8/14/21,Selangor,5,6606,6402
8/14/21,Terengganu,0,560,989
8/14/21,W.P. Kuala Lumpur,1,2028,1935
8/14/21,W.P. Labuan,0,0,5
8/14/21,W.P. Putrajaya,0,51,116
8/15/21,Johor,0,1508,998
8/15/21,Kedah,0,1596,1457
